V1
376
360
478
285
417
332
278
436
285
256
381
353
479
393
405
376
531
354
371
319
356
336
389
321
391
286
269
463
256
352
298
207
342
508
232
297
400
322
330
285
395
355
484
340
451
311
286
296
518
231
391
306
246
441
495
537
387
449
539
399
