V1
188
205
276
135
227
188
156
183
127
171
165
164
203
176
157
198
346
169
191
128
133
146
126
188
196
143
101
286
171
140
128
88
187
179
83
135
191
112
176
130
218
145
125
132
171
152
90
100
337
82
179
148
123
160
261
263
173
236
220
177
