V1
237
264
305
184
278
205
187
248
168
188
218
215
280
228
223
232
378
235
200
175
187
205
216
234
229
164
168
306
210
197
184
125
229
263
135
170
262
142
236
169
234
201
218
188
206
198
145
187
343
113
235
183
142
206
313
319
240
283
299
228
