V1
253
277
333
198
278
221
196
259
185
185
234
223
300
244
250
251
396
232
220
194
204
209
212
235
259
183
176
309
193
216
188
124
229
303
139
188
257
162
234
173
257
217
249
201
245
204
159
189
361
128
249
202
154
247
345
344
258
296
332
232
