x,y
MEXI025RA,1.231
MEXI028RA,1.309
MEXI031RA,1.109
MEXI032RA,0.892
AZ506RA,0.491
AZ511RA,0.84
AZ512RA,0.748
AZ549RA,0.785
AZ556RA,0.62
AZ557RA,0.599
AZ559RA,0.801
AZ560RA,0.812
AZ561RA,0.575
AZ562RA,0.578
CA637RA,1.14
CO511RA,1.217
CO555RA,0.968
CO556RA,1.134
CO557RA,0.964
CO558RA,0.571
CO559RA,0.942
CO560RA,0.867
CO564RA,1.171
CO565RA,0.968
CO566RA,1.825
CO567RA,1.88
CO568RA,1.278
CO569RA,1.393
CO570RA,1.281
CO571RA,1.2
CO572RA,1.212
CO579RA,1.121
CO580RA,1.179
CO581RA,1.465
CO582RA,0.551
CO583RA,1.045
CO584RA,1.041
CO585RA,1.261
CO588RA,1.191
CO589RA,1.336
CO590RA,1.294
CO591RA,1.231
CO592RA,1.802
CO593RA,1.699
CO594RA,1.23
CO595RA,1.329
CO596RA,0.997
CO597RA,1.342
CO598RA,1.429
CO599RA,0.802
CO600RA,0.818
CO601RA,0.996
CO602RA,1.419
CO603RA,1.219
CO604RA,1.11
CO605RA,1.519
CO606RA,0.884
CO607RA,1.18
CO608RA,1.782
CO609RA,1.028
CO610RA,1.01
CO611RA,1.08
CO612RA,1.305
CO613RA,1.272
CO614RA,1.2
CO615RA,1.2
CO616RA,1.553
CO617RA,1.349
CO618RA,1.44
CO619RA,1.301
CO620RA,1.253
CO621RA,1.198
CO622RA,1.545
CO623RA,1.763
CO624RA,0.849
CO625RA,1.104
CO626RA,1.025
CO627RA,1.169
CO628RA,1.26
CO629RA,0.981
CO630RA,1.406
CO631RA,0.869
CO632RA,1.444
CO633RA,0.944
CO634RA,0.937
CO635RA,0.917
CO636RA,1.206
CO637RA,1.359
CO638RA,0.972
CO639RA,1.113
CO640RA,1.433
CO641RA,1.448
ID006RA,0.853
ID009RA,0.88
ID010RA,0.981
ID011RA,0.962
ID012RA,1.013
ID015RA,0.913
NE005RA,1.242
NE007RA,1.19
NE008RA,1.737
NM547RA,0.621
NM553RA,0.979
NM560RA,1.337
NM561RA,0.793
NM562RA,0.733
NM573RA,0.054
NM574RA,1.361
NM575RA,1.117
NM576RA,1.488
NM577RA,1.044
NM578RA,1.808
NM579RA,0.741
NM580RA,0.606
NM581RA,1.081
NM582RA,0.981
TX042RA,1.031
TX046RA,1.128
WY032RA,1.229
WY037RA,1.026
