V1
211
240
284
160
245
192
173
210
155
182
191
191
240
200
194
209
355
188
189
153
169
164
150
216
216
155
141
267
171
180
159
99
194
224
112
155
217
128
201
142
220
173
190
159
198
178
126
135
336
103
192
163
133
192
295
286
202
255
254
195
