x,y
MEXI025RA,0.796
MEXI028RA,1.035
MEXI031RA,1.159
MEXI032RA,0.837
AZ506RA,1.409
AZ511RA,1.042
AZ512RA,0.899
AZ549RA,0.996
AZ556RA,0.815
AZ557RA,0.996
AZ559RA,0.908
AZ560RA,0.614
AZ561RA,0.644
AZ562RA,0.335
CA637RA,1.268
CO511RA,0.95
CO555RA,1.087
CO556RA,0.715
CO557RA,1.286
CO558RA,0.927
CO559RA,0.349
CO560RA,1.279
CO564RA,0.885
CO565RA,1.076
CO566RA,0.19
CO567RA,0.832
CO568RA,1.115
CO569RA,1.34
CO570RA,0.85
CO571RA,1.015
CO572RA,1.056
CO579RA,0.656
CO580RA,0.954
CO581RA,1.08
CO582RA,1.196
CO583RA,0.829
CO584RA,0.647
CO585RA,1.452
CO588RA,0.967
CO589RA,0.868
CO590RA,0.651
CO591RA,1.075
CO592RA,0.42
CO593RA,0.424
CO594RA,1.002
CO595RA,0.954
CO596RA,0.802
CO597RA,1.156
CO598RA,0.732
CO599RA,1.211
CO600RA,0.566
CO601RA,0.764
CO602RA,0.843
CO603RA,0.777
CO604RA,1.125
CO605RA,0.577
CO606RA,0.544
CO607RA,0.662
CO608RA,1.036
CO609RA,0.904
CO610RA,0.943
CO611RA,0.917
CO612RA,0.761
CO613RA,1.009
CO614RA,0.82
CO615RA,1.285
CO616RA,1.119
CO617RA,0.576
CO618RA,0.714
CO619RA,0.938
CO620RA,1.015
CO621RA,1.274
CO622RA,0.795
CO623RA,1.016
CO624RA,0.721
CO625RA,0.989
CO626RA,1.092
CO627RA,0.979
CO628RA,0.511
CO629RA,0.925
CO630RA,0.765
CO631RA,0.742
CO632RA,0.308
CO633RA,0.937
CO634RA,1.031
CO635RA,0.963
CO636RA,0.966
CO637RA,0.682
CO638RA,0.936
CO639RA,1.064
CO640RA,0.461
CO641RA,0.827
ID006RA,0.946
ID009RA,0.971
ID010RA,0.946
ID011RA,0.983
ID012RA,1.032
ID015RA,1.298
NE005RA,0.701
NE007RA,1.11
NE008RA,1.654
NM547RA,0.983
NM553RA,0.9
NM560RA,0.484
NM561RA,0.511
NM562RA,0.792
NM573RA,2.233
NM574RA,0.913
NM575RA,0.762
NM576RA,0.702
NM577RA,0.964
NM578RA,0.519
NM579RA,1.149
NM580RA,0.718
NM581RA,0.852
NM582RA,0.749
TX042RA,0.972
TX046RA,1.03
WY032RA,1.115
WY037RA,1.196
