x,y
MEXI025RA,1.056
MEXI028RA,1.11
MEXI031RA,0.808
MEXI032RA,1.312
AZ506RA,0.901
AZ511RA,1.242
AZ512RA,1.186
AZ549RA,1.155
AZ556RA,1.564
AZ557RA,1.245
AZ559RA,1.181
AZ560RA,0.887
AZ561RA,0.995
AZ562RA,0.77
CA637RA,1.074
CO511RA,1.061
CO555RA,0.927
CO556RA,0.813
CO557RA,1.006
CO558RA,0.883
CO559RA,1.36
CO560RA,1.018
CO564RA,0.857
CO565RA,0.799
CO566RA,0.424
CO567RA,0.471
CO568RA,1.316
CO569RA,1.219
CO570RA,1.09
CO571RA,1.225
CO572RA,0.813
CO579RA,1.022
CO580RA,0.934
CO581RA,0.966
CO582RA,1.567
CO583RA,1.416
CO584RA,1.031
CO585RA,1.122
CO588RA,0.812
CO589RA,1.055
CO590RA,0.822
CO591RA,0.61
CO592RA,0.282
CO593RA,0.869
CO594RA,1.172
CO595RA,1.03
CO596RA,0.838
CO597RA,0.592
CO598RA,0.629
CO599RA,1.256
CO600RA,1.281
CO601RA,0.771
CO602RA,0.775
CO603RA,0.691
CO604RA,1.004
CO605RA,1.384
CO606RA,0.855
CO607RA,0.711
CO608RA,0.405
CO609RA,0.881
CO610RA,1.35
CO611RA,0.829
CO612RA,1.534
CO613RA,0.985
CO614RA,0.33
CO615RA,1.158
CO616RA,1.247
CO617RA,0.43
CO618RA,0.859
CO619RA,0.994
CO620RA,1.046
CO621RA,1.278
CO622RA,0.861
CO623RA,1.246
CO624RA,1.136
CO625RA,1.324
CO626RA,1.498
CO627RA,0.908
CO628RA,0.583
CO629RA,1.602
CO630RA,0.947
CO631RA,1.138
CO632RA,0.639
CO633RA,1.009
CO634RA,1.135
CO635RA,1.031
CO636RA,1.033
CO637RA,1.234
CO638RA,1.043
CO639RA,0.301
CO640RA,0.039
CO641RA,0.736
ID006RA,1.001
ID009RA,0.891
ID010RA,0.952
ID011RA,0.901
ID012RA,0.934
ID015RA,0.711
NE005RA,1.221
NE007RA,1.091
NE008RA,0.826
NM547RA,1.086
NM553RA,1.025
NM560RA,0.89
NM561RA,1.109
NM562RA,1.035
NM573RA,1.259
NM574RA,1.101
NM575RA,1.135
NM576RA,1.01
NM577RA,1.393
NM578RA,1.227
NM579RA,1.433
NM580RA,1.545
NM581RA,1.409
NM582RA,1.723
TX042RA,1.042
TX046RA,1.068
WY032RA,0.785
WY037RA,0.865
