x,y
MEXI025RA,0.979
MEXI028RA,1.105
MEXI031RA,0.831
MEXI032RA,1.009
AZ506RA,1.059
AZ511RA,0.907
AZ512RA,0.791
AZ549RA,1.027
AZ556RA,0.709
AZ557RA,0.821
AZ559RA,0.693
AZ560RA,0.901
AZ561RA,0.64
AZ562RA,0.637
CA637RA,1.129
CO511RA,0.989
CO555RA,0.447
CO556RA,0.504
CO557RA,0.739
CO558RA,0.061
CO559RA,0.302
CO560RA,0.92
CO564RA,0.809
CO565RA,0.638
CO566RA,0.854
CO567RA,0.411
CO568RA,0.634
CO569RA,0.351
CO570RA,0.36
CO571RA,0.68
CO572RA,0.838
CO579RA,0.795
CO580RA,0.868
CO581RA,0.884
CO582RA,0.585
CO583RA,0.934
CO584RA,0.752
CO585RA,1.113
CO588RA,0.478
CO589RA,0.759
CO590RA,0.653
CO591RA,0.86
CO592RA,1.162
CO593RA,0.479
CO594RA,0.499
CO595RA,1.057
CO596RA,1.037
CO597RA,0.83
CO598RA,0.773
CO599RA,1.122
CO600RA,0.839
CO601RA,0.989
CO602RA,1.019
CO603RA,0.97
CO604RA,1.164
CO605RA,1.124
CO606RA,0.813
CO607RA,0.869
CO608RA,1.257
CO609RA,0.991
CO610RA,0.715
CO611RA,0.966
CO612RA,1.074
CO613RA,1.248
CO614RA,0.88
CO615RA,1.085
CO616RA,1.06
CO617RA,0.89
CO618RA,1.113
CO619RA,0.943
CO620RA,0.871
CO621RA,0.936
CO622RA,0.839
CO623RA,0.986
CO624RA,0.635
CO625RA,0.659
CO626RA,0.886
CO627RA,0.885
CO628RA,0.874
CO629RA,0.856
CO630RA,0.873
CO631RA,0.587
CO632RA,0.264
CO633RA,1.175
CO634RA,1.047
CO635RA,1.099
CO636RA,0.435
CO637RA,0.03
CO638RA,0.644
CO639RA,0.99
CO640RA,0.641
CO641RA,0.972
ID006RA,0.834
ID009RA,1.066
ID010RA,1.144
ID011RA,1.139
ID012RA,0.946
ID015RA,1.1
NE005RA,1.034
NE007RA,0.773
NE008RA,0.805
NM547RA,0.626
NM553RA,1.231
NM560RA,0.615
NM561RA,1.296
NM562RA,0.784
NM573RA,0.77
NM574RA,0.644
NM575RA,0.562
NM576RA,0.459
NM577RA,0.839
NM578RA,0.129
NM579RA,0.965
NM580RA,0.474
NM581RA,0.842
NM582RA,0.98
TX042RA,0.626
TX046RA,0.509
WY032RA,0.978
WY037RA,0.976
