x,y
MEXI025RA,0.962
MEXI028RA,0.782
MEXI031RA,1.017
MEXI032RA,0.721
AZ506RA,1.081
AZ511RA,1.119
AZ512RA,1.181
AZ549RA,0.933
AZ556RA,0.9
AZ557RA,1.483
AZ559RA,0.995
AZ560RA,0.723
AZ561RA,0.485
AZ562RA,0.39
CA637RA,1.448
CO511RA,1.011
CO555RA,0.871
CO556RA,1.212
CO557RA,0.568
CO558RA,0.539
CO559RA,0.639
CO560RA,0.939
CO564RA,1.141
CO565RA,0.707
CO566RA,1.357
CO567RA,0.956
CO568RA,0.65
CO569RA,0.828
CO570RA,0.732
CO571RA,1.012
CO572RA,1.362
CO579RA,0.87
CO580RA,0.816
CO581RA,1.245
CO582RA,0.638
CO583RA,1.179
CO584RA,0.961
CO585RA,1.094
CO588RA,1.367
CO589RA,0.753
CO590RA,1.151
CO591RA,1.288
CO592RA,0.968
CO593RA,0.581
CO594RA,0.412
CO595RA,1.086
CO596RA,1.083
CO597RA,0.796
CO598RA,0.948
CO599RA,0.999
CO600RA,0.701
CO601RA,1.21
CO602RA,1.2
CO603RA,1.107
CO604RA,1.259
CO605RA,0.807
CO606RA,1.092
CO607RA,1.324
CO608RA,0.753
CO609RA,0.769
CO610RA,0.868
CO611RA,1.303
CO612RA,0.989
CO613RA,1.142
CO614RA,0.708
CO615RA,1.129
CO616RA,0.887
CO617RA,0.764
CO618RA,0.57
CO619RA,1.565
CO620RA,0.759
CO621RA,1.144
CO622RA,1.017
CO623RA,0.469
CO624RA,0.339
CO625RA,1.069
CO626RA,0.896
CO627RA,0.739
CO628RA,1.316
CO629RA,1.007
CO630RA,0.956
CO631RA,0.334
CO632RA,0.928
CO633RA,0.881
CO634RA,1.028
CO635RA,0.917
CO636RA,0.974
CO637RA,0.755
CO638RA,1.25
CO639RA,0.907
CO640RA,0.777
CO641RA,0.804
ID006RA,1.101
ID009RA,1.119
ID010RA,1.295
ID011RA,1.228
ID012RA,0.962
ID015RA,0.845
NE005RA,1.092
NE007RA,1.02
NE008RA,0.783
NM547RA,0.758
NM553RA,1.034
NM560RA,0.739
NM561RA,0.491
NM562RA,1.535
NM573RA,0.33
NM574RA,0.661
NM575RA,1.042
NM576RA,1.229
NM577RA,0.433
NM578RA,1.123
NM579RA,0.759
NM580RA,0.634
NM581RA,0.67
NM582RA,0.675
TX042RA,0.877
TX046RA,0.866
WY032RA,1.267
WY037RA,1.118
